Supersectors,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Total Nonfarm,1990,8093.3,8121.6,8180.8,8187.7,8283.4,8333.5,8202.8,8206.3,8213.7,8211.4,8211.3,8202.1
Total Nonfarm,1991,7841.5,7839.0,7870.3,7879.2,7935.2,7986.8,7833.6,7834.5,7844.3,7886.7,7904.2,7888.7
Total Nonfarm,1992,7597.2,7611.6,7648.1,7702.0,7762.2,7803.9,7723.9,7713.6,7726.5,7781.4,7790.7,7807.6
Total Nonfarm,1993,7562.9,7598.1,7630.9,7689.5,7772.1,7829.5,7777.3,7762.3,7774.1,7840.6,7870.0,7894.9
Total Nonfarm,1994,7604.2,7638.5,7700.8,7759.4,7837.9,7898.2,7827.1,7832.8,7851.2,7927.8,7968.3,7980.1
Total Nonfarm,1995,7718.6,7753.9,7814.7,7847.8,7906.1,7962.0,7861.6,7870.0,7888.5,7943.4,7982.7,7997.8
Total Nonfarm,1996,7692.8,7770.4,7826.5,7859.4,7951.6,8004.8,7909.5,7912.9,7943.0,8030.0,8073.4,8097.8
Total Nonfarm,1997,7811.9,7865.3,7947.4,7984.3,8061.1,8111.8,8061.8,8049.5,8094.4,8189.1,8225.9,8265.4
Total Nonfarm,1998,7972.8,8043.3,8110.5,8148.3,8244.9,8293.0,8225.8,8225.3,8242.9,8345.9,8393.0,8432.0
Total Nonfarm,1999,8201.7,8267.3,8319.7,8397.9,8463.8,8512.7,8455.1,8451.2,8442.8,8558.4,8614.6,8657.1
Total Nonfarm,2000,8374.4,8425.9,8499.3,8571.4,8656.2,8699.2,8629.5,8587.4,8647.0,8737.0,8784.3,8817.2
Total Nonfarm,2001,8507.4,8543.8,8588.1,8589.6,8669.9,8701.7,8569.0,8533.8,8535.6,8531.0,8564.7,8578.8
Total Nonfarm,2002,8275.3,8323.4,8377.1,8413.4,8495.1,8526.3,8447.4,8432.1,8435.6,8518.7,8553.2,8576.4
Total Nonfarm,2003,8257.8,8291.5,8336.7,8359.6,8437.8,8468.5,8375.1,8353.8,8387.5,8470.6,8511.3,8537.9
Total Nonfarm,2004,8224.3,8280.6,8353.5,8390.0,8488.5,8531.8,8467.0,8439.4,8472.2,8558.3,8594.3,8629.5
Total Nonfarm,2005,8318.1,8357.6,8403.6,8497.2,8552.5,8603.5,8526.8,8512.2,8554.6,8600.1,8652.2,8695.5
Total Nonfarm,2006,8391.1,8432.4,8497.4,8554.3,8633.0,8690.1,8594.1,8570.5,8619.9,8700.6,8757.2,8807.5
Total Nonfarm,2007,8518.2,8556.9,8613.3,8648.8,8746.4,8811.0,8717.8,8687.4,8724.3,8827.5,8873.2,8906.5
Total Nonfarm,2008,8620.9,8664.8,8705.0,8770.7,8834.0,8876.4,8804.1,8765.6,8780.0,8840.7,8836.8,8830.4
Total Nonfarm,2009,8490.3,8507.6,8509.7,8515.8,8578.5,8587.6,8542.2,8494.0,8489.0,8569.0,8590.8,8608.2
Total Nonfarm,2010,8324.2,8372.8,8428.3,8542.2,8625.9,8628.1,8526.1,8487.7,8533.2,8662.2,8697.0,8707.4
Total Nonfarm,2011,8462.4,8525.4,8570.4,8686.4,8718.0,8741.1,8692.8,8660.2,8713.6,8811.4,8850.1,8868.5
Total Nonfarm,2012,8590.9,8672.2,8727.5,8785.7,8866.6,8882.9,8791.7,8780.0,8828.1,8953.5,8954.2,9006.0
Total Nonfarm,2013,8693.9,8770.5,8828.2,8923.0,8977.9,9001.7,8948.7,8925.1,8981.3,9108.4,9155.7,9164.9
Total Nonfarm,2014,8831.2,8919.8,8972.9,9069.6,9153.0,9188.2,9136.4,9120.7,9146.1,9274.7,9319.6,9338.4
Total Nonfarm,2015,9018.7,9090.4,9136.7,9230.5,9325.7,9357.3,9318.8,9288.5,9302.1,9446.2,9488.9,9498.8
Total Nonfarm,2016,9177.0,9256.8,9318.0,9421.6,9447.2,9494.1,9459.2,9429.8,9452.2,9558.8,9600.0,9612.1
Total Nonfarm,2017,9307.1,9396.6,9432.8,9499.7,9583.4,9639.4,9574.2,9552.0,9571.6,9689.3,9737.6,9747.4
Total Nonfarm,2018,9409.2,9521.6,9567.8,9633.0,9709.3,9777.4,9702.1,9672.6,9676.1,9819.9,9864.0,9865.3
Total Nonfarm,2019,9556.3,9645.3,9698.2,9769.2,9815.1,9865.6,9799.3,9766.6,9772.7,9882.1,9940.0,9925.7
Total Nonfarm,2020,9647.2,9727.1,9644.9,7846.3,8047.1,8301.8,8368.6,8530.6,8720.4,8832.4,8865.3,8797.9
Total Nonfarm,2021,8583.4,8664.5,8757.5,0,0,0,0,0,0,0,0,0
