County,FIPS Code[1],County Seat[2],Created[2],Formed from[3],Named for[4],Density,2010 Population[2],Area[2],Map
Albany County,1,Albany,1683,One of 12 original counties created in the New York colony,"James II of England (James VII of Scotland) (1633–1701), who was Duke of York (English title) and Duke of Albany (Scottish title) before becoming King of England, Ireland, and Scotland.",570.74,"304,204","533 sq mi(1,380 km2)",
Allegany County,3,Belmont,1806,Genesee County,A variant spelling of the Allegheny River,47.34,"48,946","1,034 sq mi(2,678 km2)",
Bronx County,5,New York City (coextensive withThe Bronx),1914[5],New York County,"Jonas Bronck (1600?–1643), an early settler of the Dutch colony of New Amsterdam","24,118.2","1,385,108",57.43 sq mi(149 km2),
Broome County,7,Binghamton,1806,Tioga County,"John Broome (1738–1810), fourth Lieutenant Governor of New York",280.56,"200,600","715 sq mi(1,852 km2)",
Cattaraugus County,9,Little Valley,1808,Genesee County,"A Seneca word meaning ""bad smelling banks"", referring to the odor of natural gas which leaked from local rock formations",61.31,"80,317","1,310 sq mi(3,393 km2)",
Cayuga County,11,Auburn,1799,Onondaga County,The Cayuga tribe of Native Americans,92.62,"80,026","864 sq mi(2,238 km2)",
Chautauqua County,13,Mayville,1808,Genesee County,"A Seneca word meaning ""bag tied in the middle"", in reference to the shape of Chautauqua Lake",89.94,"134,905","1,500 sq mi(3,885 km2)",
Chemung County,15,Elmira,1836,Tioga County,"A Lenape word meaning ""big horn"", which was the name of a local Native American village",216.23,"88,830","410.81 sq mi(1,064 km2)",
Chenango County,17,Norwich,1798,Tioga County and Herkimer County,"An Onondaga word meaning ""large bull-thistle""",56.16,"50,477","898.85 sq mi(2,328 km2)",
Clinton County,19,Plattsburgh,1788,Washington County,"George Clinton (1739–1812), fourth Vice President of the United States and first and third Governor of New York",73.46,"82,128","1,118 sq mi(2,896 km2)",
Columbia County,21,Hudson,1786,Albany County,"Christopher Columbus (1451–1506), the European explorer",97.37,"63,096","648 sq mi(1,678 km2)",
Cortland County,23,Cortland,1808,Onondaga County,"Pierre Van Cortlandt (1721–1814), first Lieutenant Governor of New York",98.28,"49,336","502 sq mi(1,300 km2)",
