Index,Supersectors,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,Mining and Logging,1990,6.0,6.0,6.2,6.6,6.9,7.1,7.2,7.2,7.1,7.1,6.9,6.5
1,Mining and Logging,1991,5.2,5.1,5.2,5.6,6.0,6.2,6.4,6.1,6.0,6.0,5.8,5.4
1,Mining and Logging,1992,4.7,4.7,4.9,5.1,5.6,5.9,5.9,5.9,5.9,5.9,5.8,5.5
1,Mining and Logging,1993,4.7,4.8,4.8,5.2,5.6,5.9,6.0,6.1,6.2,6.2,6.1,5.7
1,Mining and Logging,1994,4.8,4.8,5.0,5.3,5.8,6.2,6.2,6.3,6.2,6.2,6.1,5.7
1,Mining and Logging,1995,4.6,4.7,5.1,5.4,5.9,6.0,6.1,6.2,6.0,5.9,5.6,5.1
1,Mining and Logging,1996,4.4,4.6,4.7,5.3,5.7,6.1,6.0,6.0,6.0,5.9,5.7,5.3
1,Mining and Logging,1997,4.6,4.6,4.9,5.0,5.4,5.6,5.7,5.8,5.8,5.7,5.5,5.0
1,Mining and Logging,1998,4.5,4.6,4.8,5.3,5.6,5.8,5.7,5.7,5.7,5.7,5.6,5.3
1,Mining and Logging,1999,4.6,4.7,4.9,5.4,5.7,5.8,5.9,6.0,5.9,5.8,5.7,5.2
1,Mining and Logging,2000,4.7,4.6,5.1,5.4,5.7,5.9,5.9,6.0,6.0,5.8,5.7,5.2
1,Mining and Logging,2001,4.6,4.7,5.0,5.2,5.6,5.6,5.7,5.7,5.5,5.7,5.5,5.2
1,Mining and Logging,2002,4.4,4.4,4.6,5.0,5.4,5.4,5.5,5.5,5.4,5.4,5.3,4.9
1,Mining and Logging,2003,4.4,4.4,4.6,5.0,5.5,5.6,5.7,5.8,5.8,5.7,5.6,5.4
1,Mining and Logging,2004,4.7,4.6,5.0,5.4,5.8,6.0,6.1,6.2,6.2,6.1,6.0,5.7
1,Mining and Logging,2005,4.9,4.8,5.0,5.7,6.0,6.3,6.4,6.5,6.4,6.4,6.2,5.9
1,Mining and Logging,2006,5.0,5.1,5.4,6.1,6.4,6.6,6.7,6.7,6.7,6.8,6.6,6.1
